"","Index","From.Date","To.Date","PM25"
"2021-01-03 09:30:00"," 439","2021-01-03 09:30:00","2021-01-03 09:45:00","390.860004164188"
"2021-01-03 09:45:00"," 440","2021-01-03 09:45:00","2021-01-03 10:00:00","353.337270654412"
"2021-01-03 10:00:00"," 441","2021-01-03 10:00:00","2021-01-03 10:15:00","312.406581677607"
"2021-01-03 10:15:00"," 442","2021-01-03 10:15:00","2021-01-03 10:30:00","272.840020866717"
"2021-01-03 10:30:00"," 443","2021-01-03 10:30:00","2021-01-03 10:45:00","234.859805353324"
"2021-01-03 10:45:00"," 444","2021-01-03 10:45:00","2021-01-03 11:00:00","231.83253705891"
"2021-01-03 11:00:00"," 445","2021-01-03 11:00:00","2021-01-03 11:15:00","216.163181924447"
"2021-01-03 11:15:00"," 446","2021-01-03 11:15:00","2021-01-03 11:30:00","216.062675755532"
"2021-01-03 11:30:00"," 447","2021-01-03 11:30:00","2021-01-03 11:45:00","217.901605210242"
"2021-01-03 11:45:00"," 448","2021-01-03 11:45:00","2021-01-03 12:00:00","219.488060064557"
"2021-01-03 12:00:00"," 449","2021-01-03 12:00:00","2021-01-03 12:15:00","186.11818292566"
"2021-01-03 12:15:00"," 450","2021-01-03 12:15:00","2021-01-03 12:30:00","182.520909589239"
"2021-01-03 12:30:00"," 451","2021-01-03 12:30:00","2021-01-03 12:45:00","183.541124771985"
"2021-01-03 12:45:00"," 452","2021-01-03 12:45:00","2021-01-03 13:00:00","184.856340993055"
"2021-01-03 13:00:00"," 453","2021-01-03 13:00:00","2021-01-03 13:15:00","128.682148405858"
"2021-01-03 13:15:00"," 454","2021-01-03 13:15:00","2021-01-03 13:30:00","122.132893327624"
"2021-01-03 13:30:00"," 455","2021-01-03 13:30:00","2021-01-03 13:45:00","123.42772090383"
"2021-01-03 13:45:00"," 456","2021-01-03 13:45:00","2021-01-03 14:00:00","125.340650459802"
"2021-01-03 14:00:00"," 457","2021-01-03 14:00:00","2021-01-03 14:15:00","114.989790731566"
"2021-01-03 14:15:00"," 458","2021-01-03 14:15:00","2021-01-03 14:30:00","114.521496483147"
"2021-01-03 14:30:00"," 459","2021-01-03 14:30:00","2021-01-03 14:45:00","115.392231593886"
"2021-01-03 14:45:00"," 460","2021-01-03 14:45:00","2021-01-03 15:00:00","116.195102754423"
"2021-01-03 15:00:00"," 461","2021-01-03 15:00:00","2021-01-03 15:15:00","89.1738179579818"
"2021-01-03 15:15:00"," 462","2021-01-03 15:15:00","2021-01-03 15:30:00","86.0747576809034"
"2021-01-03 15:30:00"," 463","2021-01-03 15:30:00","2021-01-03 15:45:00","86.7415218442353"
"2021-01-03 15:45:00"," 464","2021-01-03 15:45:00","2021-01-03 16:00:00","87.6929821450191"
"2021-01-03 16:00:00"," 465","2021-01-03 16:00:00","2021-01-03 16:15:00","107.155147406182"
"2021-01-03 16:15:00"," 466","2021-01-03 16:15:00","2021-01-03 16:30:00","110.038364167106"
"2021-01-03 16:30:00"," 467","2021-01-03 16:30:00","2021-01-03 16:45:00","110.115468765965"
